speciesId	annotation	Type	type
mit_gene_a__MT_ND1_	ENSG00000198888	Gene	
mit_gene_a__MT_ND2_	ENSG00000198763	Gene	
mit_gene_a__MT_CO1_	ENSG00000198804	Gene	
mit_gene_a__MT_CO2_	ENSG00000198712	Gene	
mit_gene_a__MT_ATP8_	ENSG00000228253	Gene	
mit_gene_a__MT_ATP6_	ENSG00000198899	Gene	
mit_gene_a__MT_CO3_	ENSG00000198938	Gene	
mit_gene_a__MT_ND3_	ENSG00000198840	Gene	
mit_gene_a__MT_ND4L_	ENSG00000212907	Gene	
mit_gene_a__MT_ND4_	ENSG00000198886	Gene	
mit_gene_a__MT_ND5_	ENSG00000198786	Gene	
mit_gene_a__MT_ND6_	ENSG00000198695	Gene	
mit_gene_a__MT_CYB_	ENSG00000198727	Gene	
nuc_gene_a__RYBP_	ENSG00000281766	Gene	
nuc_gene_a__ACR_	ENSG00000291368	Gene	
nuc_gene_a__PRAMEF11_	ENSG00000281934	Gene	
nuc_gene_a__HNRNPCL1_	ENSG00000282175	Gene	
nuc_gene_a__PRAMEF2_	ENSG00000282817	Gene	
nuc_gene_a__PRAMEF4_	ENSG00000282584	Gene	
nuc_gene_a__PRAMEF10_	ENSG00000282663	Gene	
nuc_gene_a__PRAMEF7_	ENSG00000279195	Gene	
nuc_gene_a__PPP1R27_	ENSG00000288186	Gene	
nuc_gene_a__PRAMEF6_	ENSG00000282119	Gene	
nuc_gene_a__PRAMEF27_	ENSG00000282437	Gene	
nuc_gene_a__HNRNPCL3_	ENSG00000282559	Gene	
nuc_gene_a__PRAMEF25_	ENSG00000282566	Gene	
nuc_gene_a__HNRNPCL2_	ENSG00000282530	Gene	
nuc_gene_a__MUC5AC_	ENSG00000291363	Gene	
nuc_gene_a__PRAMEF26_	ENSG00000281987	Gene	
nuc_gene_a__HNRNPCL4_	ENSG00000282095	Gene	
nuc_gene_a__PRAMEF13_	ENSG00000282741	Gene	
nuc_gene_a__PRAMEF18_	ENSG00000282212	Gene	
nuc_gene_a__PRAMEF5_	ENSG00000282424	Gene	
nuc_gene_a__PRAMEF8_	ENSG00000282583	Gene	
nuc_gene_a__PRAMEF33_	ENSG00000282125	Gene	
nuc_gene_a__OR9G4_	ENSG00000262647	Gene	
nuc_gene_a__SYT15B_	ENSG00000288175	Gene	
nuc_gene_a__NPY4R2_	ENSG00000288157	Gene	
nuc_gene_a__FAM25C_	ENSG00000288481	Gene	
nuc_gene_a__TOLLIP_	ENSG00000291426	Gene	
nuc_gene_a__LRP6_	ENSG00000281324	Gene	
nuc_gene_a__BRSK2_	ENSG00000291428	Gene	
nuc_gene_a__MANSC1_	ENSG00000281818	Gene	
nuc_gene_a__DUSP8_	ENSG00000291431	Gene	
nuc_gene_a__KRTAP5_1_	ENSG00000291433	Gene	
nuc_gene_a__KRTAP5_2_	ENSG00000291434	Gene	
nuc_gene_a__KRTAP5_3_	ENSG00000291435	Gene	
nuc_gene_a__KRTAP5_5_	ENSG00000291443	Gene	
nuc_gene_a__BORCS5_	ENSG00000280689	Gene	
nuc_gene_a__MOB2_	ENSG00000291442	Gene	
nuc_gene_a__DUSP16_	ENSG00000280962	Gene	
nuc_gene_a__HMX1_	ENSG00000288204	Gene	
nuc_gene_a__TSPY8_	ENSG00000291455	Gene	
nuc_gene_a__TSPY4_	ENSG00000291458	Gene	
nuc_gene_a__FAM20C_	ENSG00000288499	Gene	
nuc_gene_a__SERTAD4_	ENSG00000281230	Gene	
nuc_gene_a__OR4C12_	ENSG00000284255	Gene	
nuc_gene_a__OR4C45_	ENSG00000292249	Gene	
nuc_gene_a__GRK1_	ENSG00000288263	Gene	
