reactionId	parameterId	parameterScale	lowerBound	upperBound	nominalValue	estimate
vGac1	kGac1	lin	0.0005	0.0005	0.0005	0
vGac2	kGac2	lin	0.0005	0.0005	0.0005	0
vGac3	kGac3	lin	0.0005	0.0005	0.0005	0
vGac4	kGac4	lin	0.0005	0.0005	0.0005	0
vGac5	kGac5	lin	0.0005	0.0005	0.0005	0
vGac6	kGac6	lin	0.0005	0.0005	0.0005	0
vGac7	kGac7	lin	0.0005	0.0005	0.0005	0
vGac8	kGac8	lin	0.0005	0.0005	0.0005	0
vGac9	kGac9	lin	0.0005	0.0005	0.0005	0
vGac10	kGac10	lin	0.0005	0.0005	0.0005	0
vGac11	kGac11	lin	0.0005	0.0005	0.0005	0
vGac12	kGac12	lin	0.0005	0.0005	0.0005	0
vGac13	kGac13	lin	0.0005	0.0005	0.0005	0
vGac14	kGac14	lin	0.0005	0.0005	0.0005	0
vGac15	kGac15	lin	0.0005	0.0005	0.0005	0
vGac16	kGac16	lin	0.0005	0.0005	0.0005	0
vGac17	kGac17	lin	0.0005	0.0005	0.0005	0
vGac18	kGac18	lin	0.0005	0.0005	0.0005	0
vGac19	kGac19	lin	0.0005	0.0005	0.0005	0
vGac20	kGac20	lin	0.0005	0.0005	0.0005	0
vGac21	kGac21	lin	0.0005	0.0005	0.0005	0
vGac22	kGac22	lin	0.0005	0.0005	0.0005	0
vGac23	kGac23	lin	0.0005	0.0005	0.0005	0
vGac24	kGac24	lin	0.0005	0.0005	0.0005	0
vGac25	kGac25	lin	0.0005	0.0005	0.0005	0
vGac26	kGac26	lin	0.0005	0.0005	0.0005	0
vGac27	kGac27	lin	0.0005	0.0005	0.0005	0
vGac28	kGac28	lin	0.0005	0.0005	0.0005	0
vGac29	kGac29	lin	0.0005	0.0005	0.0005	0
vGac30	kGac30	lin	0.0005	0.0005	0.0005	0
vGac31	kGac31	lin	0.0005	0.0005	0.0005	0
vGac32	kGac32	lin	0.0005	0.0005	0.0005	0
vGac33	kGac33	lin	0.0005	0.0005	0.0005	0
vGac34	kGac34	lin	0.0005	0.0005	0.0005	0
vGac35	kGac35	lin	0.0005	0.0005	0.0005	0
vGac36	kGac36	lin	0.0005	0.0005	0.0005	0
vGac37	kGac37	lin	0.0005	0.0005	0.0005	0
vGac38	kGac38	lin	0.0005	0.0005	0.0005	0
vGac39	kGac39	lin	0.0005	0.0005	0.0005	0
vGac40	kGac40	lin	0.0005	0.0005	0.0005	0
vGac41	kGac41	lin	0.0005	0.0005	0.0005	0
vGac42	kGac42	lin	0.0005	0.0005	0.0005	0
vGac43	kGac43	lin	0.0005	0.0005	0.0005	0
vGac44	kGac44	lin	0.0005	0.0005	0.0005	0
vGac45	kGac45	lin	0.0005	0.0005	0.0005	0
vGac46	kGac46	lin	0.0005	0.0005	0.0005	0
vGac47	kGac47	lin	0.0005	0.0005	0.0005	0
vGac48	kGac48	lin	0.0005	0.0005	0.0005	0
vGac49	kGac49	lin	0.0005	0.0005	0.0005	0
vGac50	kGac50	lin	0.0005	0.0005	0.0005	0
vGac51	kGac51	lin	0.0005	0.0005	0.0005	0
vGac52	kGac52	lin	0.0005	0.0005	0.0005	0
vGac53	kGac53	lin	0.0005	0.0005	0.0005	0
vGac54	kGac54	lin	0.0005	0.0005	0.0005	0
vGac55	kGac55	lin	0.0005	0.0005	0.0005	0
vGac56	kGac56	lin	0.0005	0.0005	0.0005	0
vGac57	kGac57	lin	0.0005	0.0005	0.0005	0
vGac58	kGac58	lin	0.0005	0.0005	0.0005	0
vGac59	kGac59	lin	0.0005	0.0005	0.0005	0
vGac60	kGac60	lin	0.0005	0.0005	0.0005	0
vGac61	kGac61	lin	0.0005	0.0005	0.0005	0
vGac62	kGac62	lin	0.0005	0.0005	0.0005	0
vGac63	kGac63	lin	0.0005	0.0005	0.0005	0
vGac64	kGac64	lin	0.0005	0.0005	0.0005	0
vGac65	kGac65	lin	0.0005	0.0005	0.0005	0
vGac66	kGac66	lin	0.0005	0.0005	0.0005	0
vGac67	kGac67	lin	0.0005	0.0005	0.0005	0
vGac68	kGac68	lin	0.0005	0.0005	0.0005	0
vGac69	kGac69	lin	0.0005	0.0005	0.0005	0
vGac70	kGac70	lin	0.0005	0.0005	0.0005	0
vGac71	kGac71	lin	0.0005	0.0005	0.0005	0
vGac72	kGac72	lin	0.0005	0.0005	0.0005	0
vGac73	kGac73	lin	0.0005	0.0005	0.0005	0
