reactionId	compartment	r ; p	ratelaw
vGac1	Mitochondria	mit_gene_i__MT_ND1_ ; mit_gene_a__MT_ND1_	kGac1 * mit_gene_i__MT_ND1_
vGac2	Mitochondria	mit_gene_i__MT_ND2_ ; mit_gene_a__MT_ND2_	kGac2 * mit_gene_i__MT_ND2_
vGac3	Mitochondria	mit_gene_i__MT_CO1_ ; mit_gene_a__MT_CO1_	kGac3 * mit_gene_i__MT_CO1_
vGac4	Mitochondria	mit_gene_i__MT_CO2_ ; mit_gene_a__MT_CO2_	kGac4 * mit_gene_i__MT_CO2_
vGac5	Mitochondria	mit_gene_i__MT_ATP8_ ; mit_gene_a__MT_ATP8_	kGac5 * mit_gene_i__MT_ATP8_
vGac6	Mitochondria	mit_gene_i__MT_ATP6_ ; mit_gene_a__MT_ATP6_	kGac6 * mit_gene_i__MT_ATP6_
vGac7	Mitochondria	mit_gene_i__MT_CO3_ ; mit_gene_a__MT_CO3_	kGac7 * mit_gene_i__MT_CO3_
vGac8	Mitochondria	mit_gene_i__MT_ND3_ ; mit_gene_a__MT_ND3_	kGac8 * mit_gene_i__MT_ND3_
vGac9	Mitochondria	mit_gene_i__MT_ND4L_ ; mit_gene_a__MT_ND4L_	kGac9 * mit_gene_i__MT_ND4L_
vGac10	Mitochondria	mit_gene_i__MT_ND4_ ; mit_gene_a__MT_ND4_	kGac10 * mit_gene_i__MT_ND4_
vGac11	Mitochondria	mit_gene_i__MT_ND5_ ; mit_gene_a__MT_ND5_	kGac11 * mit_gene_i__MT_ND5_
vGac12	Mitochondria	mit_gene_i__MT_ND6_ ; mit_gene_a__MT_ND6_	kGac12 * mit_gene_i__MT_ND6_
vGac13	Mitochondria	mit_gene_i__MT_CYB_ ; mit_gene_a__MT_CYB_	kGac13 * mit_gene_i__MT_CYB_
vGac14	Nucleus	nuc_gene_i__RYBP_ ; nuc_gene_a__RYBP_	kGac14 * nuc_gene_i__RYBP_
vGac15	Nucleus	nuc_gene_i__ACR_ ; nuc_gene_a__ACR_	kGac15 * nuc_gene_i__ACR_
vGac16	Nucleus	nuc_gene_i__PRAMEF11_ ; nuc_gene_a__PRAMEF11_	kGac16 * nuc_gene_i__PRAMEF11_
vGac17	Nucleus	nuc_gene_i__HNRNPCL1_ ; nuc_gene_a__HNRNPCL1_	kGac17 * nuc_gene_i__HNRNPCL1_
vGac18	Nucleus	nuc_gene_i__PRAMEF2_ ; nuc_gene_a__PRAMEF2_	kGac18 * nuc_gene_i__PRAMEF2_
vGac19	Nucleus	nuc_gene_i__PRAMEF4_ ; nuc_gene_a__PRAMEF4_	kGac19 * nuc_gene_i__PRAMEF4_
vGac20	Nucleus	nuc_gene_i__PRAMEF10_ ; nuc_gene_a__PRAMEF10_	kGac20 * nuc_gene_i__PRAMEF10_
vGac21	Nucleus	nuc_gene_i__PRAMEF7_ ; nuc_gene_a__PRAMEF7_	kGac21 * nuc_gene_i__PRAMEF7_
vGac22	Nucleus	nuc_gene_i__PPP1R27_ ; nuc_gene_a__PPP1R27_	kGac22 * nuc_gene_i__PPP1R27_
vGac23	Nucleus	nuc_gene_i__PRAMEF6_ ; nuc_gene_a__PRAMEF6_	kGac23 * nuc_gene_i__PRAMEF6_
vGac24	Nucleus	nuc_gene_i__PRAMEF27_ ; nuc_gene_a__PRAMEF27_	kGac24 * nuc_gene_i__PRAMEF27_
vGac25	Nucleus	nuc_gene_i__HNRNPCL3_ ; nuc_gene_a__HNRNPCL3_	kGac25 * nuc_gene_i__HNRNPCL3_
