reactionId	solver	compartment	r ; p	ratelaw
vbR	Deterministic	Cytoplasm	; cyt_imp_Ribosome_	kbR_1+(kbR_2*((cyt_prot_p_RPS6KB1_^kbR_3)/((kbR_4^kbR_3)+(cyt_prot_p_RPS6KB1_^kbR_3))))
vdR	Deterministic	Cytoplasm	cyt_imp_Ribosome_ ;	kdR_1*cyt_imp_Ribosome_
vTL1	Deterministic	Nucleus	; nuc_prot_i_TP53_	kTL1_1*cyt_mrna_TP53_201_*(cyt_prot_EIF4E_/(kTL1_2+cyt_prot_EIF4E_))
vTL2	Deterministic	Nucleus	; nuc_prot_MDM2_	(kTL2_1+kTL2_2*nuc_imp_MDM2pro_)*cyt_mrna_MDM2_202_*(cyt_prot_EIF4E_/(kTL2_3+cyt_prot_EIF4E_))
vTL3	Deterministic	Nucleus	; nuc_prot_PPM1D_	kTL3_1*nuc_imp_WIP1pro_*cyt_mrna_PPM1D_201_*(cyt_prot_EIF4E_/(kTL3_2+cyt_prot_EIF4E_))
vTL4	Deterministic	Cytoplasm	; nuc_prot_i_ATM_	kTL4_1*cyt_mrna_ATM_229_*(cyt_prot_EIF4E_/(kTL4_2+cyt_prot_EIF4E_))
vTL5	Deterministic	Cytoplasm	; nuc_prot_i_ATR_	kTL5_1*cyt_mrna_ATR_201_*(cyt_prot_EIF4E_/(kTL5_2+cyt_prot_EIF4E_))
vTL6	Deterministic	Nucleus	; nuc_prot_RB1_	kTL6_1*cyt_mrna_RB1_201_
vTL7	Deterministic	Nucleus	; nuc_prot_E2F_	kTL7_1*cyt_mrna_E2F1_201_
vTL8	Deterministic	Nucleus	; nuc_prot_E2F_	kTL8_1*cyt_mrna_E2F2_203_
vTL9	Deterministic	Nucleus	; nuc_prot_E2F_	kTL9_1*cyt_mrna_E2F3_201_
vTL10	Deterministic	Nucleus	; nuc_prot_CCND_	(kTL10_1+kTL10_2*nuc_prot_E2F_*(kTL10_3/(kTL10_3+nuc_prot_RB1_))*(kTL10_4/(kTL10_4+nuc_prot_p_RB1_)))*cyt_mrna_CCND1_201_*(cyt_prot_EIF4E_/(kTL10_5+cyt_prot_EIF4E_))
vTL11	Deterministic	Nucleus	; nuc_prot_CCND_	(kTL11_1+kTL11_2*nuc_prot_E2F_*(kTL11_3/(kTL11_3+nuc_prot_RB1_))*(kTL11_4/(kTL11_4+nuc_prot_p_RB1_)))*cyt_mrna_CCND2_201_*(cyt_prot_EIF4E_/(kTL11_5+cyt_prot_EIF4E_))
vTL12	Deterministic	Nucleus	; nuc_prot_CCND_	(kTL12_1+kTL12_2*nuc_prot_E2F_*(kTL12_3/(kTL12_3+nuc_prot_RB1_))*(kTL12_4/(kTL12_4+nuc_prot_p_RB1_)))*cyt_mrna_CCND3_203_*(cyt_prot_EIF4E_/(kTL12_5+cyt_prot_EIF4E_))
vTL13	Deterministic	Nucleus	; nuc_prot_CCNE_	kTL13_1*nuc_prot_E2F_*(kTL13_2/(kTL13_2+nuc_prot_RB1_))*(kTL13_3/(kTL13_3+nuc_prot_p_RB1_))*cyt_mrna_CCNE1_201_
