reactionId	solver	compartment	r ; p	ratelaw	parameter1	parameter2	parameter3	parameter4	parameter5	parameter6	parameter7	parameter8
vbR	Deterministic	Cytoplasm	; cyt_imp_Ribosome_	kbR_1+(kbR_2*((cyt_prot_p_RPS6KB1_^kbR_3)/((kbR_4^kbR_3)+(cyt_prot_p_RPS6KB1_^kbR_3))))	0.0042	0.04	5	4.86				
vdR	Deterministic	Cytoplasm	cyt_imp_Ribosome_ ;	2.22E-06								
vTL1	Deterministic	Nucleus	; nuc_prot_i_TP53_	kTL1_1*cyt_mrna_TP53_201_*(cyt_prot_EIF4E_/(kTL1_2+cyt_prot_EIF4E_))	141	100						
vTL2	Deterministic	Nucleus	; nuc_prot_MDM2_	(kTL2_1+kTL2_2*nuc_imp_MDM2pro_)*cyt_mrna_MDM2_202_*(cyt_prot_EIF4E_/(kTL2_3+cyt_prot_EIF4E_))	5	0.0225	100					
vTL3	Deterministic	Nucleus	; nuc_prot_PPM1D_	kTL3_1*nuc_imp_WIP1pro_*cyt_mrna_PPM1D_201_*(cyt_prot_EIF4E_/(kTL3_2+cyt_prot_EIF4E_))	0.156	100						
vTL4	Deterministic	Cytoplasm	; nuc_prot_i_ATM_	kTL4_1*cyt_mrna_ATM_229_*(cyt_prot_EIF4E_/(kTL4_2+cyt_prot_EIF4E_))	0.00454	100						
vTL5	Deterministic	Cytoplasm	; nuc_prot_i_ATR_	kTL5_1*cyt_mrna_ATR_201_*(cyt_prot_EIF4E_/(kTL5_2+cyt_prot_EIF4E_))	0.0218	100						
vTL6	Deterministic	Nucleus	; nuc_prot_RB1_	kTL6*cyt_mrna_RB1_201_	70.1							
vTL7	Deterministic	Nucleus	; nuc_prot_E2F_	kTL7*cyt_mrna_E2F1_201_	4.39							
vTL8	Deterministic	Nucleus	; nuc_prot_E2F_	kTL8*cyt_mrna_E2F2_203_	4.39							
vTL9	Deterministic	Nucleus	; nuc_prot_E2F_	kTL9*cyt_mrna_E2F3_201_	4.39							
vTL10	Deterministic	Nucleus	; nuc_prot_CCND_	(kTL10_1+kTL10_2*nuc_prot_E2F_*(kTL10_3/(kTL10_3+nuc_prot_RB1_))*(kTL10_4/(kTL10_4+nuc_prot_p_RB1_)))*cyt_mrna_CCND1_201_*(cyt_prot_EIF4E_/(kTL10_5+cyt_prot_EIF4E_))	26.9	0.0118	10	200	100			
vTL11	Deterministic	Nucleus	; nuc_prot_CCND_	(kTL11_1+kTL11_2*nuc_prot_E2F_*(kTL11_3/(kTL11_3+nuc_prot_RB1_))*(kTL11_4/(kTL11_4+nuc_prot_p_RB1_)))*cyt_mrna_CCND2_201_*(cyt_prot_EIF4E_/(kTL11_5+cyt_prot_EIF4E_))	26.9	0.0118	10	200	100			
vTL12	Deterministic	Nucleus	; nuc_prot_CCND_	(kTL12_1+kTL12_2*nuc_prot_E2F_*(kTL12_3/(kTL12_3+nuc_prot_RB1_))*(kTL12_4/(kTL12_4+nuc_prot_p_RB1_)))*cyt_mrna_CCND3_203_*(cyt_prot_EIF4E_/(kTL12_5+cyt_prot_EIF4E_))	26.9	0.0118	10	200	100			
vTL13	Deterministic	Nucleus	; nuc_prot_CCNE_	kTL13_1*nuc_prot_E2F_*(kTL13_2/(kTL13_2+nuc_prot_RB1_))*(kTL13_3/(kTL13_3+nuc_prot_p_RB1_))*cyt_mrna_CCNE1_201_	0.127	10	200					
vTL14	Deterministic	Nucleus	; nuc_prot_CCNE_	kTL14_1*nuc_prot_E2F_*(kTL14_2/(kTL14_2+nuc_prot_RB1_))*(kTL14_3/(kTL14_3+nuc_prot_p_RB1_))*cyt_mrna_CCNE2_201_	0.127	10	200					
vTL15	Deterministic	Nucleus	; nuc_prot_SKP2_	kTL15*cyt_mrna_SKP2_202_	13.2							
vTL16	Deterministic	Nucleus	; nuc_prot_i_CDC25A__CCNE__CDK2_	kTL16*cyt_mrna_CDC25A_201_	11.4							
vTL17	Deterministic	Nucleus	; nuc_prot_i_CDC25B__CCNA__CDK2_	kTL17*cyt_mrna_CDC25B_201_	9.22							
vTL18	Deterministic	Nucleus	; nuc_prot_i_CDC25C__CCNB__CDK1_	kTL18*cyt_mrna_CDC25C_201_	10.5							
