speciesId	compartment	initialConcentration	solver	annotation1	annotation2	annotation3	annotation4	annotation5	annotation6	annotation7	annotation8	annotation9	annotation10	annotation11	annotation12	annotation13
cyt_imp_Ribosome_	Cytoplasm	1897.371866	Deterministic	GO:0005840												
nuc_prot_i_TP53_	Nucleus	296.618651	Deterministic	P04637												
nuc_prot_a_TP53_	Nucleus	6.24613433	Deterministic	P04637												
nuc_prot_MDM2_	Nucleus	205.6185213	Deterministic	Q00987												
nuc_prot_PPM1D_	Nucleus	2.230730408	Deterministic	O15297												
nuc_prot_p_ATM_	Nucleus	7.09E-76	Deterministic	Q13315												
nuc_prot_a_ATR_	Nucleus	2.45E-108	Deterministic	Q13535												
nuc_imp_MDM2delay1_	Nucleus	6.24613433	Deterministic	Q00987												
nuc_imp_MDM2delay2_	Nucleus	6.24613433	Deterministic	Q00987												
nuc_imp_MDM2delay3_	Nucleus	6.24613433	Deterministic	Q00987												
nuc_imp_MDM2delay4_	Nucleus	6.24613433	Deterministic	Q00987												
nuc_imp_MDM2delay5_	Nucleus	6.24613433	Deterministic	Q00987												
nuc_imp_MDM2delay6_	Nucleus	6.24613433	Deterministic	Q00987												
nuc_imp_MDM2delay7_	Nucleus	6.24613433	Deterministic	Q00987												
nuc_imp_MDM2delay8_	Nucleus	6.24613433	Deterministic	Q00987												
nuc_imp_MDM2delay9_	Nucleus	6.24613433	Deterministic	Q00987												
nuc_imp_MDM2pro_	Nucleus	6.24613433	Deterministic	Q00987												
nuc_imp_WIP1delay1_	Nucleus	6.24613433	Deterministic	O15297												
nuc_imp_WIP1delay2_	Nucleus	6.24613433	Deterministic	O15297												
nuc_imp_WIP1delay3_	Nucleus	6.24613433	Deterministic	O15297												
nuc_imp_WIP1delay4_	Nucleus	6.24613433	Deterministic	O15297												
nuc_imp_WIP1delay5_	Nucleus	6.24613433	Deterministic	O15297												
nuc_imp_WIP1delay6_	Nucleus	6.24613433	Deterministic	O15297												
nuc_imp_WIP1delay7_	Nucleus	6.24613433	Deterministic	O15297												
nuc_imp_WIP1delay8_	Nucleus	6.24613433	Deterministic	O15297												
nuc_imp_WIP1delay9_	Nucleus	6.24613433	Deterministic	O15297												
nuc_imp_WIP1pro_	Nucleus	6.24613433	Deterministic	O15297												
nuc_prot_BRCA2_	Nucleus	0.8217966444	Deterministic	P51587												
nuc_prot_MSH6_	Nucleus	45.50365668	Deterministic	P52701												
nuc_prot_MGMT_	Nucleus	120.2551816	Deterministic	P16455												
nuc_imp_DNADoubleStrandBreak_	Nucleus	0.0002439506892	Deterministic	CHEMBL454708												
nuc_imp_DNASingleStrandBreak_	Nucleus	6.05E-06	Deterministic													
nuc_prot_p_p_AKT__MDM2_	Nucleus	0	Deterministic	P31749	Q00987	P31751										
nuc_prot_p_MDM2_	Nucleus	0	Deterministic	Q00987												
nuc_prot_CDKN2A_	Nucleus	0	Deterministic	Q8N726												
nuc_prot_MDM4_	Nucleus	0.02721568768	Deterministic	O15151												
nuc_prot_a_TP53__MDM4_	Nucleus	0	Deterministic	P04637	O15151											
nuc_prot_i_ATM_	Nucleus	1.503759502	Deterministic	Q13315												
nuc_prot_i_ATR_	Nucleus	2.400324008	Deterministic	Q13535												
nuc_prot_RB1_	Nucleus	7983.140007	Deterministic	P06400												
nuc_prot_p_RB1_	Nucleus	0.5354928863	Deterministic	P06400												
nuc_prot_p_p_RB1_	Nucleus	0.006971196379	Deterministic	P06400												
nuc_prot_E2F_	Nucleus	1117.207529	Deterministic	Q01094	Q14209	O00716										
nuc_prot_CCND_	Nucleus	0.2333115979	Deterministic	P24385	P30279	P30281										
nuc_prot_i_CCND__CDK4_	Nucleus	0.5891171682	Deterministic	P24385	P30279	P30281	P11802	Q00534								
nuc_prot_CCND__CDK4_	Nucleus	3.85369761	Deterministic	P24385	P30279	P30281	P11802	Q00534								
nuc_prot_CCND__CDK4__CDKN1B_	Nucleus	0.787522147	Deterministic	P24385	P30279	P30281	P11802	Q00534	P46527							
nuc_prot_CCNE_	Nucleus	0.2553392305	Deterministic	P24864	O96020											
nuc_prot_i_CCNE__CDK2_	Nucleus	0.8895689476	Deterministic	P24864	O96020	P24941										
nuc_prot_CCNE__CDK2_	Nucleus	2.746655183	Deterministic	P24864	O96020	P24941										
nuc_prot_SKP2_	Nucleus	11.40896301	Deterministic	Q13309												
nuc_prot_CCNE__CDK2__CDKN1B_	Nucleus	1.122585115	Deterministic	P24864	O96020	P24941 P46527										
nuc_prot_CDC25A__CCNE__CDK2_	Nucleus	141.2881402	Deterministic	P30304	P24864	O96020	P24941									
nuc_prot_i_CDC25B__CCNA__CDK2_	Nucleus	49.17500389	Deterministic	P30305	P78396	P20248	P24941									
nuc_prot_i_CDC25A__CCNE__CDK2_	Nucleus	16.02256602	Deterministic	P30304	P24864	O96020	P24941									
nuc_prot_i_CDC25C__CCNB__CDK1_	Nucleus	55.29821475	Deterministic	P30307	P14635	O95067	Q8WWL7	P06493								
nuc_prot_CCNA_	Nucleus	4.029092509	Deterministic	P20248												
nuc_prot_i_CCNA__CDK2_	Nucleus	14.03683866	Deterministic	P20248	P24941											
nuc_prot_CCNA__CDK2_	Nucleus	5.235356085	Deterministic	P20248	P24941											
nuc_prot_CCNA__CDK2__CDKN1B_	Nucleus	1.283844951	Deterministic	P20248	P24941	P46527										
nuc_prot_CDKN1B_	Nucleus	20.43549408	Deterministic	P46527												
nuc_prot_i_CDH1_	Nucleus	0.5985884632	Deterministic	P12830												
nuc_prot_a_CDH1_	Nucleus	108.8028846	Deterministic	P12830												
nuc_prot_p_E2F_	Nucleus	11.60507992	Deterministic	Q01094	Q14209	O00716										
nuc_prot_p_CDKN1B_	Nucleus	4.204625911	Deterministic	P46527												
nuc_prot_p_CDC25__CCNA__CDK2_	Nucleus	41.64971959	Deterministic	P30305	P20248	P24941										
nuc_prot_CCNB_	Nucleus	3.443669431	Deterministic	P14635												
nuc_prot_i_CCNB__CDK1_	Nucleus	3.901124927	Deterministic	P14635	Q8WWL7	P06493										
nuc_prot_CCNB__CDK1_	Nucleus	0.6842719645	Deterministic	P14635	P06493											
nuc_prot_i_CDC20_	Nucleus	71.16747301	Deterministic	Q12834												
nuc_prot_a_CDC20_	Nucleus	0.7301463448	Deterministic	Q12834												
nuc_prot_CDC25__CCNB__CDK1_	Nucleus	9.403016576	Deterministic	P30305	P14635	P06493										
nuc_prot_WEE1_	Nucleus	26.5188928	Deterministic	P30291												
nuc_prot_p_WEE1_	Nucleus	16.74041512	Deterministic	P30291												
nuc_prot_CCNB__CDK1__CDKN1B_	Nucleus	0.08390062297	Deterministic	P14635	P06493	P46527										
nuc_prot_CHEK1_	Nucleus	0.1497720439	Deterministic	O14757												
nuc_prot_RB1__E2F_	Nucleus	8918.824124	Deterministic	P06400	Q01094	Q14209	O00716									
nuc_prot_p_RB1__E2F_	Nucleus	0.2991284689	Deterministic	P06400	Q01094	Q14209	O00716									
nuc_prot_CDKN1A_	Nucleus	20.87340931	Deterministic	P38936												
nuc_prot_CCND__CDK4__CDKN1A_	Nucleus	0.4826389818	Deterministic	P24385	P30279	P30281	P11802	Q00534	P38936							
nuc_prot_CCNE__CDK2__CDKN1A_	Nucleus	0.2293282558	Deterministic	P24864	O96020	P46527	P38936									
nuc_prot_CCNA__CDK2__CDKN1A_	Nucleus	0.2622714049	Deterministic	P20248	P24941	P38936										
nuc_prot_CCNB__CDK1__CDKN1A_	Nucleus	0.01713970232	Deterministic	P14635	P06493	P38936										
ext_prot_TNFSF10_	Extracellular	2.21E-17	Deterministic	P50591												
cyt_prot_TNFRSF10_	Cytoplasm	8.031117651	Deterministic	O00220	O14763											
cyt_prot_TNFSF10__TNFRSF10_	Cytoplasm	2.24E-16	Deterministic	P50591	O00220	O14763										
cyt_prot_a_TNFRSF10_	Cytoplasm	7.56E-20	Deterministic	O00220	O14763											
cyt_prot_CFLAR_	Cytoplasm	0.5259203514	Deterministic	O15519												
cyt_prot_a_TNFRSF10__CFLAR_	Cytoplasm	1.05E-19	Deterministic	O00220	O14763	O15519										
cyt_prot_p_CASP8_	Cytoplasm	26.5263809	Deterministic	Q14790	Q92851											
cyt_prot_a_TNFRSF10__p_CASP8_	Cytoplasm	6.34E-21	Deterministic	O00220	O14763	Q14790	Q92851									
cyt_prot_i_CASP8_	Cytoplasm	0.0005051866364	Deterministic	Q14790	Q92851											
cyt_prot_BFAR_	Cytoplasm	0.8411539614	Deterministic	Q9NZS9												
cyt_prot_CASP8__BFAR_	Cytoplasm	0.001306372322	Deterministic	Q14790	Q92851	Q9NZS9										
cyt_prot_p_CASP3_	Cytoplasm	79.9328682	Deterministic	P42574	P55210											
cyt_prot_CASP8__p_CASP3_	Cytoplasm	0.006376929866	Deterministic	Q14790	Q92851	P42574	P55210									
cyt_prot_CASP3_	Cytoplasm	0.0002025657987	Deterministic	P42574	P55210											
cyt_prot_p_CASP6_	Cytoplasm	47.67662922	Deterministic	P55212												
cyt_prot_CASP3__CASP6_	Cytoplasm	3.05E-08	Deterministic	P42574	P55210	P55212										
cyt_prot_CASP6_	Cytoplasm	0.0005733205948	Deterministic	P55212												
cyt_prot_CASP6__CASP8_	Cytoplasm	1.44E-07	Deterministic	P55212	Q14790	Q92851										
cyt_prot_XIAP_	Cytoplasm	5.269689424	Deterministic	P98170												
cyt_prot_CASP3__XIAP_	Cytoplasm	6.68E-05	Deterministic	P42574	P55210	P98170										
cyt_prot_PARP1_	Cytoplasm	639.6157705	Deterministic	P09874												
cyt_prot_CASP3__PARP1_	Cytoplasm	4.06E-06	Deterministic	P42574	P55210	P09874										
cyt_prot_cl_PARP1_	Cytoplasm	1.619665788	Deterministic	P09874												
cyt_prot_BID_	Cytoplasm	50.47541201	Deterministic	P55957												
cyt_prot_CASP8__BID_	Cytoplasm	7.31E-05	Deterministic	Q14790	Q92851	P55957										
cyt_prot_cl_BID_	Cytoplasm	1.60E-06	Deterministic	P55957												
cyt_prot_BCL2_	Cytoplasm	12.4806229	Deterministic	P10415	Q07817	Q07820										
cyt_prot_cl_BID__BCL2_	Cytoplasm	5.62E-05	Deterministic	P55957	P10415	Q07817	Q07820									
cyt_prot_i_BAX_	Cytoplasm	88.22685878	Deterministic	Q07812												
cyt_prot_a_cl_BID__BAX_	Cytoplasm	4.46E-08	Deterministic	P55957	Q07812											
cyt_prot_a_BAX_	Cytoplasm	0.0001441807424	Deterministic	Q07812												
mit_prot_a_BAX_	Mitochondria	0.001926774373	Deterministic	Q07812												
mit_prot_BCL2_	Mitochondria	1.780761749	Deterministic	P10415	Q07817	Q07820										
mit_prot_BAX__BCL2_	Mitochondria	0.009670088024	Deterministic	Q07812	P10415	Q07817	Q07820									
mit_prot_a_BAX__BAX_	Mitochondria	0.0001173834856	Deterministic	Q07812												
mit_prot_a_BAX__BAX__BCL2_	Mitochondria	0.0005891237988	Deterministic	Q07812	P10415	Q07817	Q07820									
mit_prot_a_BAX__BAX__BAX__BAX_	Mitochondria	4.36E-07	Deterministic	Q07812												
mit_prot_a_BAX__BAX__BAX__BAX__BCL2_	Mitochondria	2.19E-06	Deterministic	Q07812	P10415	Q07817	Q07820									
mit_imp_Membrane_	Mitochondria	2259.969091	Deterministic	GO:0005739												
mit_mixed_a_BAX__BAX__BAX__BAX__Membrane_	Mitochondria	3.11E-06	Deterministic	GO:0005739	Q07812											
mit_imp_a_Membrane_	Mitochondria	0.0003110284153	Deterministic	GO:0005739												
mit_mixed_CYC1__Membrane_	Mitochondria	15542.58969	Deterministic	GO:0005739	P08574											
mit_prot_a_Membrane__CYC1_	Mitochondria	0.02779283998	Deterministic	GO:0005739	P08574											
mit_prot_CYC1_	Mitochondria	0.2778550028	Deterministic	P08574												
mit_mixed_DIABLO__Membrane_	Mitochondria	1450.93993	Deterministic	GO:0005739	Q9NR28											
mit_mixed_a_Membrane__DIABLO_	Mitochondria	0.002594531676	Deterministic	GO:0005739	Q9NR28											
mit_prot_DIABLO_	Mitochondria	0.02083931858	Deterministic	Q9NR28												
cyt_prot_CYC1_	Cytoplasm	0.01944728057	Deterministic	P08574												
cyt_prot_i_APAF1_	Cytoplasm	0.09689042078	Deterministic	O14727												
cyt_prot_CYC1__APAF1_	Cytoplasm	2.98E-06	Deterministic	P08574	O14727											
cyt_prot_a_APAF1_	Cytoplasm	0.01099338724	Deterministic	O14727												
cyt_prot_i_PCSK9_	Cytoplasm	3.457423761	Deterministic	Q8NBP7												
cyt_prot_a_APAF1__PCSK9_	Cytoplasm	0.003099873576	Deterministic	O14727	Q8NBP7											
