index	nuc_gene_a__LIGAND_	nuc_gene_i__LIGAND_	nuc_gene_a__RECEPTOR_	nuc_gene_i__RECEPTOR_	cyt_mrna__LIGAND_	cyt_mrna__RECEPTOR_	cyt_prot__LIGAND_	cyt_prot__RECEPTOR_	cyt_prot__LIGAND__RECEPTOR_	
0.000000	1	1	1	1	5	5	10	100	0	
30.000000	1	1	1	1	5	5	9.05427	99.0498	0.946807	
60.000000	1	1	1	1	5	5	7.44498	97.4315	2.55826	
90.000000	1	1	1	1	5	5	5.58709	95.5601	4.41939	
120.000000	0	2	0	2	5	5	3.84906	93.8041	6.16176	
150.000000	0	2	0	2	5	5	2.45089	92.3834	7.56533	
180.000000	0	2	0	2	5	5	1.4572	91.3628	8.5655	
210.000000	0	2	0	2	5	5	0.824976	90.6991	9.20528	
240.000000	0	2	0	2	5	5	0.462588	90.3007	9.57631	
270.000000	0	2	0	2	5	5	0.274914	90.0726	9.7737	
300.000000	0	2	0	2	5	5	0.186999	89.9398	9.8724	
330.000000	0	2	0	2	5	5	0.149752	89.8532	9.92151	
360.000000	0	2	0	2	5	5	0.135531	89.7852	9.94866	
390.000000	0	2	0	2	5	5	0.13071	89.7221	9.96748	
420.000000	0	2	0	2	5	5	0.129355	89.6581	9.98391	
450.000000	0	2	0	2	5	5	0.129161	89.5908	10.0002	
480.000000	0	2	0	2	5	5	0.129329	89.5194	10.0173	
510.000000	0	2	1	1	5	5	0.129609	89.4437	10.0352	
540.000000	0	2	1	1	5	5	0.129931	89.3637	10.0542	
570.000000	0	2	1	1	5	5	0.130276	89.2793	10.0742	
600.000000	0	2	1	1	5	5	0.130641	89.1906	10.0953	
630.000000	0	2	1	1	5	5	0.131025	89.0975	10.1174	
660.000000	0	2	1	1	5	5	0.131428	89.0001	10.1405	
690.000000	0	2	1	1	5	5	0.131849	88.8984	10.1646	
720.000000	0	2	1	1	5	5	0.132289	88.7924	10.1897	
750.000000	0	2	1	1	5	5	0.132748	88.6821	10.2159	
780.000000	0	2	1	1	5	5	0.133226	88.5676	10.2431	
810.000000	0	2	1	1	5	5	0.133723	88.4488	10.2712	
840.000000	0	2	1	1	5	5	0.134239	88.3257	10.3004	
870.000000	0	2	1	1	5	5	0.134774	88.1985	10.3306	
900.000000	0	2	1	1	5	5	0.135329	88.0671	10.3617	
930.000000	0	2	1	1	5	5	0.135902	87.9315	10.3939	
960.000000	0	2	1	1	5	5	0.136495	87.7917	10.427	
990.000000	0	2	1	1	5	5	0.137108	87.6478	10.4611	
1020.000000	0	2	1	1	5	5	0.13774	87.4998	10.4962	
1050.000000	0	2	1	1	5	5	0.138392	87.3477	10.5323	
1080.000000	0	2	1	1	5	5	0.139064	87.1916	10.5693	
1110.000000	0	2	1	1	5	5	0.139755	87.0314	10.6073	
1140.000000	0	2	1	1	5	5	0.140467	86.8672	10.6462	
1170.000000	0	2	1	1	5	5	0.141198	86.699	10.6861	
1200.000000	0	2	1	1	5	4	0.14195	86.5268	10.7269	
1230.000000	0	2	1	1	5	4	0.142738	86.3377	10.7686	
1260.000000	0	2	1	1	5	4	0.143552	86.1445	10.8113	
1290.000000	0	2	1	1	5	4	0.144387	85.947	10.8548	
1320.000000	0	2	1	1	5	4	0.145245	85.7454	10.8993	
1350.000000	0	2	1	1	5	4	0.146123	85.5397	10.9447	
1380.000000	0	2	0	2	5	4	0.147024	85.3299	10.991	
1410.000000	0	2	0	2	5	4	0.147946	85.1161	11.0382	
1440.000000	0	2	0	2	5	4	0.148891	84.8982	11.0862	
1470.000000	0	2	0	2	5	4	0.149858	84.6763	11.1352	
1500.000000	0	2	0	2	5	4	0.150847	84.4504	11.185	
1530.000000	0	2	0	2	5	4	0.151859	84.2207	11.2356	
1560.000000	0	2	0	2	5	4	0.152894	83.987	11.2872	
1590.000000	0	2	0	2	5	4	0.153951	83.7494	11.3395	
1620.000000	0	2	0	2	5	4	0.155032	83.5081	11.3927	
1650.000000	0	2	0	2	5	4	0.156136	83.2629	11.4468	
1680.000000	0	2	0	2	5	4	0.157264	83.014	11.5016	
1710.000000	0	2	0	2	5	4	0.158416	82.7613	11.5573	
1740.000000	0	2	0	2	5	4	0.159591	82.505	11.6138	
1770.000000	0	2	0	2	5	4	0.16079	82.245	11.6711	
1800.000000	0	2	0	2	5	4	0.162014	81.9814	11.7292	
1830.000000	0	2	0	2	5	4	0.163263	81.7143	11.7881	
1860.000000	0	2	0	2	5	4	0.164536	81.4435	11.8477	
1890.000000	0	2	0	2	5	4	0.165834	81.1693	11.9081	
1920.000000	0	2	0	2	5	4	0.167158	80.8917	11.9692	
1950.000000	0	2	0	2	5	4	0.168507	80.6106	12.0311	
1980.000000	0	2	0	2	5	4	0.169881	80.3261	12.0938	
2010.000000	0	2	0	2	5	4	0.171282	80.0383	12.1571	
2040.000000	0	2	0	2	5	4	0.172709	79.7472	12.2212	
2070.000000	0	2	0	2	5	4	0.174163	79.4528	12.286	
2100.000000	0	2	0	2	5	4	0.175643	79.1552	12.3515	
2130.000000	0	2	0	2	5	3	0.17715	78.8544	12.4177	
2160.000000	0	2	0	2	5	3	0.178727	78.5278	12.4845	
2190.000000	1	1	0	2	5	3	0.180342	78.1979	12.552	
2220.000000	1	1	1	1	5	3	0.181986	77.8647	12.6202	
2250.000000	1	1	1	1	5	3	0.183661	77.5282	12.6889	
2280.000000	1	1	1	1	5	3	0.185366	77.1886	12.7584	
2310.000000	0	2	1	1	5	3	0.187102	76.8458	12.8285	
2340.000000	0	2	0	2	5	3	0.188869	76.5	12.8991	
2370.000000	0	2	0	2	5	3	0.190668	76.1511	12.9704	
2400.000000	0	2	0	2	5	3	0.192499	75.7992	13.0423	
2430.000000	0	2	0	2	4	3	0.194362	75.4443	13.1148	
2460.000000	0	2	0	2	4	3	0.191785	75.108	13.1665	
2490.000000	0	2	0	2	4	3	0.193277	74.773	13.2144	
2520.000000	0	2	0	2	4	3	0.1948	74.4355	13.2628	
2550.000000	0	2	0	2	4	3	0.19635	74.0953	13.3115	
2580.000000	1	1	0	2	4	3	0.197924	73.7527	13.3605	
2610.000000	1	1	0	2	4	3	0.199525	73.4076	13.4099	
2640.000000	1	1	0	2	4	3	0.201152	73.0601	13.4596	
2670.000000	1	1	0	2	4	3	0.202806	72.7101	13.5096	
2700.000000	1	1	0	2	4	3	0.204487	72.3579	13.56	
2730.000000	1	1	0	2	4	3	0.206195	72.0033	13.6107	
2760.000000	1	1	0	2	4	3	0.207931	71.6465	13.6617	
2790.000000	1	1	0	2	4	3	0.209695	71.2876	13.7129	
2820.000000	1	1	0	2	4	3	0.211487	70.9264	13.7645	
2850.000000	1	1	0	2	4	3	0.213308	70.5632	13.8164	
2880.000000	1	1	0	2	4	3	0.215158	70.1979	13.8685	
2910.000000	0	2	0	2	4	3	0.217037	69.8306	13.9209	
2940.000000	0	2	0	2	4	3	0.218946	69.4613	13.9736	
2970.000000	0	2	0	2	4	3	0.220886	69.0901	14.0265	
3000.000000	0	2	0	2	4	3	0.222856	68.7171	14.0797	
3030.000000	0	2	0	2	4	3	0.224856	68.3422	14.1331	
3060.000000	0	2	0	2	4	3	0.226889	67.9656	14.1867	
3090.000000	0	2	0	2	4	3	0.228953	67.5872	14.2406	
3120.000000	0	2	0	2	4	3	0.231049	67.2071	14.2947	
3150.000000	0	2	0	2	4	3	0.233178	66.8254	14.349	
3180.000000	1	1	0	2	4	3	0.23534	66.4422	14.4035	
3210.000000	1	1	0	2	4	3	0.237536	66.0574	14.4582	
3240.000000	1	1	0	2	4	3	0.239765	65.6711	14.5131	
3270.000000	1	1	0	2	4	3	0.242029	65.2833	14.5682	
3300.000000	0	2	0	2	4	3	0.244328	64.8942	14.6235	
3330.000000	0	2	0	2	4	3	0.246663	64.5037	14.6789	
3360.000000	0	2	0	2	4	3	0.249033	64.112	14.7345	
3390.000000	0	2	0	2	4	3	0.25144	63.7189	14.7902	
3420.000000	0	2	0	2	4	3	0.253884	63.3247	14.8461	
3450.000000	0	2	0	2	4	3	0.256365	62.9293	14.9021	
3480.000000	0	2	0	2	4	3	0.258884	62.5328	14.9583	
3510.000000	0	2	0	2	4	3	0.261442	62.1352	15.0146	
3540.000000	0	2	0	2	4	3	0.264039	61.7367	15.0709	
3570.000000	0	2	0	2	4	3	0.266675	61.3371	15.1274	
3600.000000	0	2	0	2	4	3	0.269352	60.9366	15.1841	
3630.000000	0	2	0	2	4	3	0.27207	60.5353	15.2407	
3660.000000	0	2	0	2	4	3	0.274829	60.1331	15.2975	
3690.000000	0	2	0	2	4	3	0.27763	59.7301	15.3544	
3720.000000	0	2	0	2	4	3	0.280474	59.3264	15.4113	
3750.000000	0	2	0	2	4	3	0.283361	58.922	15.4683	
3780.000000	0	2	0	2	4	3	0.286292	58.517	15.5254	
3810.000000	0	2	0	2	4	3	0.289268	58.1113	15.5825	
3840.000000	0	2	0	2	4	3	0.292289	57.7051	15.6396	
3870.000000	0	2	0	2	4	3	0.295356	57.2984	15.6968	
3900.000000	0	2	0	2	4	3	0.298469	56.8912	15.754	
3930.000000	0	2	0	2	4	3	0.301631	56.4836	15.8113	
3960.000000	0	2	0	2	4	3	0.30484	56.0756	15.8685	
3990.000000	0	2	0	2	4	3	0.308098	55.6673	15.9258	
4020.000000	0	2	0	2	4	3	0.311406	55.2587	15.9831	
4050.000000	0	2	0	2	4	3	0.314764	54.8499	16.0403	
4080.000000	0	2	0	2	4	3	0.318174	54.4409	16.0975	
4110.000000	0	2	0	2	4	3	0.321635	54.0317	16.1547	
4140.000000	0	2	0	2	4	3	0.32515	53.6224	16.2119	
4170.000000	0	2	0	2	4	3	0.328718	53.213	16.2691	
4200.000000	0	2	0	2	4	3	0.332341	52.8036	16.3262	
4230.000000	0	2	0	2	4	3	0.336019	52.3943	16.3832	
4260.000000	0	2	0	2	4	3	0.339753	51.985	16.4402	
4290.000000	0	2	0	2	4	3	0.343545	51.5757	16.4972	
4320.000000	0	2	0	2	4	3	0.347395	51.1667	16.554	
4350.000000	0	2	0	2	4	3	0.351304	50.7578	16.6108	
4380.000000	0	2	0	2	4	3	0.355273	50.3491	16.6675	
4410.000000	0	2	0	2	4	3	0.359303	49.9407	16.7242	
4440.000000	0	2	0	2	4	3	0.363395	49.5326	16.7807	
4470.000000	0	2	0	2	4	3	0.367551	49.1249	16.8371	
4500.000000	0	2	0	2	4	3	0.37177	48.7176	16.8934	
4530.000000	0	2	0	2	4	3	0.376055	48.3106	16.9496	
4560.000000	0	2	0	2	4	3	0.380406	47.9042	17.0056	
4590.000000	0	2	1	1	4	3	0.384825	47.4982	17.0615	
4620.000000	0	2	1	1	4	3	0.389312	47.0928	17.1173	
4650.000000	0	2	1	1	4	3	0.393868	46.688	17.173	
4680.000000	0	2	1	1	4	3	0.398496	46.2838	17.2284	
4710.000000	0	2	1	1	4	3	0.403196	45.8802	17.2838	
4740.000000	0	2	1	1	4	3	0.407969	45.4774	17.3389	
4770.000000	0	2	1	1	4	3	0.412817	45.0753	17.3939	
4800.000000	1	1	1	1	4	3	0.417741	44.6739	17.4487	
4830.000000	1	1	1	1	4	3	0.422742	44.2734	17.5034	
4860.000000	1	1	1	1	4	3	0.427822	43.8737	17.5578	
4890.000000	0	2	1	1	4	3	0.432981	43.4749	17.612	
4920.000000	0	2	1	1	4	3	0.438222	43.077	17.6661	
4950.000000	0	2	1	1	4	3	0.443545	42.68	17.7199	
4980.000000	0	2	1	1	4	3	0.448953	42.284	17.7735	
5010.000000	0	2	1	1	4	3	0.454446	41.8891	17.8269	
5040.000000	0	2	0	2	4	3	0.460027	41.4952	17.8801	
5070.000000	0	2	0	2	4	3	0.465696	41.1024	17.933	
5100.000000	0	2	0	2	4	3	0.471455	40.7106	17.9857	
5130.000000	0	2	0	2	4	3	0.477307	40.3201	18.0381	
5160.000000	0	2	0	2	4	3	0.483252	39.9307	18.0903	
5190.000000	0	2	0	2	4	3	0.489293	39.5425	18.1422	
5220.000000	0	2	0	2	4	3	0.49543	39.1556	18.1939	
5250.000000	0	2	0	2	4	3	0.501666	38.7699	18.2453	
5280.000000	0	2	0	2	4	3	0.508003	38.3856	18.2964	
5310.000000	0	2	0	2	4	3	0.514442	38.0026	18.3472	
5340.000000	0	2	0	2	4	3	0.520985	37.6209	18.3977	
5370.000000	0	2	0	2	4	3	0.527635	37.2407	18.448	
5400.000000	0	2	0	2	4	3	0.534392	36.8618	18.4979	
