index	nuc_gene_a__LIGAND_	nuc_gene_i__LIGAND_	nuc_gene_a__RECEPTOR_	nuc_gene_i__RECEPTOR_	cyt_mrna__LIGAND_	cyt_mrna__RECEPTOR_	cyt_prot__LIGAND_	cyt_prot__RECEPTOR_	cyt_prot__LIGAND__RECEPTOR_	
0.000000	1	1	1	1	6	5	10	100	0	
30.000000	1	1	0	2	6	7	9.05458	99.0498	0.946822	
60.000000	1	1	0	2	7	7	7.4458	97.4326	2.5584	
90.000000	1	1	0	2	7	7	5.58932	95.5626	4.42001	
120.000000	1	1	0	2	8	7	3.85264	93.808	6.16355	
150.000000	1	1	0	2	8	7	2.45689	92.3882	7.56944	
180.000000	1	1	0	2	10	7	1.46503	91.3674	8.57348	
210.000000	1	1	0	2	12	7	0.837341	90.7016	9.21979	
240.000000	1	1	0	2	12	7	0.481308	90.297	9.60216	
270.000000	1	1	0	2	13	7	0.29711	90.0582	9.81598	
300.000000	1	1	0	2	14	7	0.213095	89.9103	9.93604	
330.000000	1	1	0	2	18	7	0.179946	89.8035	10.0123	
360.000000	1	1	0	2	20	7	0.176906	89.705	10.0775	
390.000000	1	1	0	2	21	7	0.181347	89.5978	10.1486	
420.000000	1	1	0	2	22	7	0.186095	89.478	10.2296	
450.000000	0	2	0	2	25	7	0.191033	89.3448	10.3212	
480.000000	0	2	0	2	25	7	0.201542	89.193	10.4288	
510.000000	0	2	0	2	25	7	0.205452	89.0246	10.5502	
540.000000	0	2	0	2	25	7	0.207805	88.8446	10.6804	
570.000000	0	2	0	2	25	7	0.209896	88.6544	10.8182	
600.000000	0	2	0	2	25	7	0.212021	88.4543	10.9631	
630.000000	0	2	0	2	25	7	0.214245	88.2444	11.1151	
660.000000	0	2	0	2	25	7	0.216581	88.0248	11.2742	
690.000000	0	2	0	2	25	7	0.219033	87.7955	11.4403	
720.000000	0	2	0	2	25	7	0.221601	87.5564	11.6134	
750.000000	0	2	0	2	25	7	0.224288	87.3078	11.7935	
780.000000	0	2	0	2	25	7	0.227095	87.0495	11.9805	
810.000000	0	2	0	2	25	7	0.230023	86.7817	12.1745	
840.000000	0	2	0	2	25	7	0.233074	86.5044	12.3753	
870.000000	0	2	0	2	24	7	0.236251	86.2176	12.583	
900.000000	0	2	0	2	23	7	0.236107	85.9274	12.7915	
930.000000	0	2	0	2	23	7	0.235662	85.6374	12.9972	
