index	cyt_prot__LIGAND_	cyt_prot__RECEPTOR_	cyt_prot__LIGAND__RECEPTOR_	nuc_gene_a__LIGAND_	nuc_gene_i__LIGAND_	nuc_gene_a__RECEPTOR_	nuc_gene_i__RECEPTOR_	cyt_mrna__LIGAND_	cyt_mrna__RECEPTOR_
0.000000	0	100	0	0.000948902	0.000948902	0.000948902	0.000948902	0.0015815	0.0015815
30.000000	0.0161417	99.8663	0.033273	0.00083081	0.00106699	0.00083081	0.00106699	0.00171227	0.00171227
60.000000	0.0185558	99.719	0.0838651	0.000730681	0.00116712	0.000730681	0.00116712	0.00182651	0.00182651
90.000000	0.0202039	99.5712	0.138353	0.000645783	0.00125202	0.000645783	0.00125202	0.00192676	0.00192676
120.000000	0.0217284	99.4235	0.195702	0.000573798	0.00132401	0.000573798	0.00132401	0.00201512	0.00201512
150.000000	0.0231748	99.276	0.255535	0.000512762	0.00138504	0.000512762	0.00138504	0.0020934	0.0020934
180.000000	0.0245572	99.1286	0.317555	0.00046101	0.00143679	0.00046101	0.00143679	0.00216314	0.00216314
210.000000	0.0258866	98.9814	0.381512	0.00041713	0.00148067	0.00041713	0.00148067	0.00222561	0.00222561
240.000000	0.0271723	98.8343	0.447192	0.000379924	0.00151788	0.000379924	0.00151788	0.00228194	0.00228194
270.000000	0.028422	98.6875	0.514416	0.000348378	0.00154943	0.000348378	0.00154943	0.00233303	0.00233303
300.000000	0.0296424	98.5408	0.583031	0.00032163	0.00157617	0.00032163	0.00157617	0.00237969	0.00237969
330.000000	0.0308391	98.3944	0.652904	0.000298951	0.00159885	0.000298951	0.00159885	0.00242259	0.00242259
360.000000	0.032017	98.2481	0.723927	0.000279721	0.00161808	0.000279721	0.00161808	0.00246228	0.00246228
390.000000	0.0331802	98.1021	0.796005	0.000263416	0.00163439	0.000263416	0.00163439	0.00249926	0.00249926
420.000000	0.034332	97.9562	0.869057	0.000249591	0.00164821	0.000249591	0.00164821	0.00253394	0.00253394
450.000000	0.0354755	97.8106	0.943015	0.000237869	0.00165993	0.000237869	0.00165993	0.00256664	0.00256664
480.000000	0.0366131	97.6652	1.01782	0.000227931	0.00166987	0.000227931	0.00166987	0.00259769	0.00259769
510.000000	0.0377471	97.52	1.09343	0.000219503	0.0016783	0.000219503	0.0016783	0.00262731	0.00262731
540.000000	0.038879	97.375	1.16979	0.000212358	0.00168545	0.000212358	0.00168545	0.00265572	0.00265572
570.000000	0.0400106	97.2302	1.24687	0.0002063	0.0016915	0.0002063	0.0016915	0.0026831	0.0026831
600.000000	0.0411431	97.0857	1.32464	0.000201163	0.00169664	0.000201163	0.00169664	0.00270961	0.00270961
630.000000	0.0422777	96.9414	1.40307	0.000196807	0.001701	0.000196807	0.001701	0.00273536	0.00273536
660.000000	0.0434152	96.7973	1.48215	0.000193114	0.00170469	0.000193114	0.00170469	0.00276048	0.00276048
690.000000	0.0445565	96.6534	1.56184	0.000189983	0.00170782	0.000189983	0.00170782	0.00278504	0.00278504
720.000000	0.0457023	96.5097	1.64214	0.000187328	0.00171048	0.000187328	0.00171048	0.00280914	0.00280914
750.000000	0.0468532	96.3663	1.72303	0.000185076	0.00171273	0.000185076	0.00171273	0.00283283	0.00283283
780.000000	0.0480094	96.2231	1.80449	0.000183167	0.00171464	0.000183167	0.00171464	0.00285618	0.00285618
810.000000	0.0491719	96.0801	1.88652	0.000181549	0.00171625	0.000181549	0.00171625	0.00287923	0.00287923
840.000000	0.0503406	95.9373	1.9691	0.000180177	0.00171763	0.000180177	0.00171763	0.00290202	0.00290202
870.000000	0.0515159	95.7948	2.05223	0.000179013	0.00171879	0.000179013	0.00171879	0.00292459	0.00292459
900.000000	0.0526981	95.6524	2.13591	0.000178027	0.00171978	0.000178027	0.00171978	0.00294696	0.00294696
930.000000	0.0538875	95.5103	2.22011	0.00017719	0.00172061	0.00017719	0.00172061	0.00296916	0.00296916
960.000000	0.0550842	95.3685	2.30485	0.000176481	0.00172132	0.000176481	0.00172132	0.00299122	0.00299122
990.000000	0.0562884	95.2268	2.3901	0.00017588	0.00172192	0.00017588	0.00172192	0.00301314	0.00301314
1020.000000	0.0575002	95.0854	2.47588	0.00017537	0.00172243	0.00017537	0.00172243	0.00303495	0.00303495
1050.000000	0.0587197	94.9442	2.56217	0.000174938	0.00172287	0.000174938	0.00172287	0.00305665	0.00305665
1080.000000	0.0599472	94.8032	2.64897	0.000174571	0.00172323	0.000174571	0.00172323	0.00307826	0.00307826
1110.000000	0.0611826	94.6624	2.73627	0.00017426	0.00172354	0.00017426	0.00172354	0.00309979	0.00309979
1140.000000	0.062426	94.5218	2.82408	0.000173997	0.00172381	0.000173997	0.00172381	0.00312124	0.00312124
1170.000000	0.0636775	94.3815	2.91239	0.000173773	0.00172403	0.000173773	0.00172403	0.00314263	0.00314263
1200.000000	0.0649372	94.2414	3.0012	0.000173584	0.00172422	0.000173584	0.00172422	0.00316395	0.00316395
1230.000000	0.0662051	94.1015	3.0905	0.000173423	0.00172438	0.000173423	0.00172438	0.00318521	0.00318521
1260.000000	0.0674813	93.9618	3.1803	0.000173287	0.00172452	0.000173287	0.00172452	0.00320642	0.00320642
1290.000000	0.0687657	93.8224	3.27058	0.000173172	0.00172463	0.000173172	0.00172463	0.00322758	0.00322758
1320.000000	0.0700586	93.6831	3.36135	0.000173074	0.00172473	0.000173074	0.00172473	0.00324869	0.00324869
1350.000000	0.0713598	93.5441	3.45261	0.000172991	0.00172481	0.000172991	0.00172481	0.00326975	0.00326975
1380.000000	0.0726694	93.4053	3.54436	0.00017292	0.00172488	0.00017292	0.00172488	0.00329078	0.00329078
1410.000000	0.0739874	93.2668	3.63658	0.00017286	0.00172494	0.00017286	0.00172494	0.00331176	0.00331176
1440.000000	0.0753139	93.1284	3.72928	0.00017281	0.00172499	0.00017281	0.00172499	0.0033327	0.0033327
1470.000000	0.0766489	92.9903	3.82247	0.000172767	0.00172504	0.000172767	0.00172504	0.0033536	0.0033536
1500.000000	0.0779923	92.8523	3.91612	0.000172731	0.00172507	0.000172731	0.00172507	0.00337447	0.00337447
1530.000000	0.0793443	92.7146	4.01026	0.0001727	0.0017251	0.0001727	0.0017251	0.0033953	0.0033953
1560.000000	0.0807049	92.5771	4.10486	0.000172674	0.00172513	0.000172674	0.00172513	0.00341609	0.00341609
1590.000000	0.082074	92.4399	4.19994	0.000172651	0.00172515	0.000172651	0.00172515	0.00343685	0.00343685
1620.000000	0.0834516	92.3028	4.29548	0.000172633	0.00172517	0.000172633	0.00172517	0.00345758	0.00345758
1650.000000	0.0848379	92.166	4.39149	0.000172617	0.00172519	0.000172617	0.00172519	0.00347827	0.00347827
1680.000000	0.0862327	92.0294	4.48796	0.000172603	0.0017252	0.000172603	0.0017252	0.00349893	0.00349893
1710.000000	0.0876362	91.893	4.5849	0.000172592	0.00172521	0.000172592	0.00172521	0.00351956	0.00351956
1740.000000	0.0890483	91.7568	4.6823	0.000172582	0.00172522	0.000172582	0.00172522	0.00354015	0.00354015
